Day of created_at_local,Id (Hist Views),id (hist_projects),project_id,username,action_view,created_at_local,Name (Hist Views),Name (Hist Workbooks),Site,Action,Created At,Day of the week,Number of Records,tz_offset_days
2022년 3월 10일,3591,4,4,6443,Access View,2022-03-10 오후 1:16:20,재해 추이,안전 현황,Default,Access View ,2022-03-10 오전 4:16:20,Thursday,1,0.375
2022년 3월 10일,3590,4,4,6443,Access View,2022-03-10 오후 1:16:32,재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 4:16:32,Thursday,1,0.375
2022년 3월 10일,3591,4,4,6443,Access View,2022-03-10 오후 1:16:40,재해 추이,안전 현황,Default,Access View ,2022-03-10 오전 4:16:40,Thursday,1,0.375
2022년 3월 10일,3592,4,4,6443,Access View,2022-03-10 오후 1:16:50,재해 유형,안전 현황,Default,Access View ,2022-03-10 오전 4:16:50,Thursday,1,0.375
2022년 3월 10일,3590,4,4,6443,Access View,2022-03-10 오후 1:17:04,재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 4:17:04,Thursday,1,0.375
2022년 3월 10일,3591,4,4,6443,Access View,2022-03-10 오후 1:17:18,재해 추이,안전 현황,Default,Access View ,2022-03-10 오전 4:17:18,Thursday,1,0.375
2022년 3월 10일,3593,4,4,6443,Access View,2022-03-10 오후 1:17:31,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 4:17:31,Thursday,1,0.375
2022년 3월 10일,3590,4,4,6448,Access View,2022-03-10 오후 1:22:26,재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 4:22:26,Thursday,1,0.375
2022년 3월 10일,3591,4,4,6448,Access View,2022-03-10 오후 1:22:38,재해 추이,안전 현황,Default,Access View ,2022-03-10 오전 4:22:38,Thursday,1,0.375
2022년 3월 10일,3592,4,4,6448,Access View,2022-03-10 오후 1:23:52,재해 유형,안전 현황,Default,Access View ,2022-03-10 오전 4:23:52,Thursday,1,0.375
2022년 3월 10일,3593,4,4,6448,Access View,2022-03-10 오후 1:24:01,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 4:24:01,Thursday,1,0.375
2022년 3월 10일,3593,4,4,5947,Access View,2022-03-10 오후 1:32:54,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 4:32:54,Thursday,1,0.375
2022년 3월 10일,3590,4,4,5947,Access View,2022-03-10 오후 1:33:06,재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 4:33:06,Thursday,1,0.375
2022년 3월 10일,3593,4,4,5947,Access View,2022-03-10 오후 1:34:36,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 4:34:36,Thursday,1,0.375
2022년 3월 10일,3590,4,4,5947,Access View,2022-03-10 오후 1:34:57,재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 4:34:57,Thursday,1,0.375
