name (hist_projects),id (hist_projects),project_id,Id (Hist Views),username,action_view,created_at_local,Name (Hist Views),Name (Hist Workbooks),Site,Action,Created At,Number of Records,tz_offset_days
기본값,3,1,305,admin,Access View,2021-09-23 오전 10:52:06,자금,재무현황,Default,Access View ,2021-09-23 오전 1:52:06,1,0.375
기본값,3,1,305,admin,Access View,2021-09-23 오전 10:54:24,자금,재무현황,Default,Access View ,2021-09-23 오전 1:54:24,1,0.375
기본값,3,1,305,admin,Access View,2021-09-23 오전 10:54:59,자금,재무현황,Default,Access View ,2021-09-23 오전 1:54:59,1,0.375
기본값,3,1,305,admin,Access View,2021-09-23 오전 10:55:59,자금,재무현황,Default,Access View ,2021-09-23 오전 1:55:59,1,0.375
기본값,3,1,305,admin,Access View,2021-09-23 오전 10:55:59,자금,재무현황,Default,Access View ,2021-09-23 오전 1:55:59,1,0.375
기본값,3,1,305,admin,Access View,2021-09-23 오전 10:56:04,자금,재무현황,Default,Access View ,2021-09-23 오전 1:56:04,1,0.375
기본값,3,1,305,admin,Access View,2021-09-23 오전 10:56:05,자금,재무현황,Default,Access View ,2021-09-23 오전 1:56:05,1,0.375
기본값,3,1,305,admin,Access View,2021-09-23 오전 10:56:35,자금,재무현황,Default,Access View ,2021-09-23 오전 1:56:35,1,0.375
기본값,3,1,305,admin,Access View,2021-09-23 오전 11:05:05,자금,재무현황,Default,Access View ,2021-09-23 오전 2:05:05,1,0.375
EIS,4,4,629,admin,Access View,2021-09-23 오전 11:06:37,자금,재무현황,Default,Access View ,2021-09-23 오전 2:06:37,1,0.375
EIS,4,4,629,admin,Access View,2021-09-23 오전 11:19:23,자금,재무현황,Default,Access View ,2021-09-23 오전 2:19:23,1,0.375
EIS,4,4,629,admin,Access View,2021-09-23 오후 1:05:27,자금,재무현황,Default,Access View ,2021-09-23 오전 4:05:27,1,0.375
EIS,4,4,629,admin,Access View,2021-09-23 오후 1:10:18,자금,재무현황,Default,Access View ,2021-09-23 오전 4:10:18,1,0.375
EIS,4,4,606,admin,Access View,2021-09-23 오후 1:24:41,HR 현황,HR_인사통계,Default,Access View ,2021-09-23 오전 4:24:41,1,0.375
EIS,4,4,598,admin,Access View,2021-09-23 오후 1:47:32,카드,"수주, 공급, 판매",Default,Access View ,2021-09-23 오전 4:47:32,1,0.375
EIS,4,4,600,admin,Access View,2021-09-23 오후 1:47:56,수주/공급/분양,"수주, 공급, 판매",Default,Access View ,2021-09-23 오전 4:47:56,1,0.375
EIS,4,4,599,admin,Access View,2021-09-23 오후 1:48:23,수주/공급 현황,"수주, 공급, 판매",Default,Access View ,2021-09-23 오전 4:48:23,1,0.375
기본값,3,1,306,admin,Access View,2021-09-23 오후 2:14:25,카드,"수주, 공급, 판매",Default,Access View ,2021-09-23 오전 5:14:25,1,0.375
EIS,4,4,600,admin,Access View,2021-09-23 오후 2:18:55,수주/공급/분양,"수주, 공급, 판매",Default,Access View ,2021-09-23 오전 5:18:55,1,0.375
EIS,4,4,599,admin,Access View,2021-09-23 오후 2:19:24,수주/공급 현황,"수주, 공급, 판매",Default,Access View ,2021-09-23 오전 5:19:24,1,0.375
